"id","slug","name","symbol","timestamp","ref_cur_id","ref_cur_name","time_open","time_close","time_high","time_low","open","high","low","close","volume","market_cap","circulating_supply"
1,"bitcoin","Bitcoin","BTC",2017-05-03 23:59:59,"2781","USD",2017-05-03,2017-05-03 23:59:59,2017-05-03 21:14:09,2017-05-03 07:14:09,1453.7800292969,1492.7700195313,1447.4899902344,1490.0899658203,583795968,24301634925.3,16308837
1,"bitcoin","Bitcoin","BTC",2017-05-04 23:59:59,"2781","USD",2017-05-04,2017-05-04 23:59:59,2017-05-04 18:54:10,2017-05-04 00:04:10,1490.7199707031,1608.9100341797,1490.7199707031,1537.6700439453,933548992,25080858486.5,16310950
1,"bitcoin","Bitcoin","BTC",2017-05-05 23:59:59,"2781","USD",2017-05-05,2017-05-05 23:59:59,2017-05-05 09:04:11,2017-05-05 17:04:08,1540.8699951172,1618.0300292969,1530.3100585938,1555.4499511719,946035968,25373374562.9,16312562
1,"bitcoin","Bitcoin","BTC",2017-05-06 23:59:59,"2781","USD",2017-05-06,2017-05-06 23:59:59,2017-05-06 23:59:14,2017-05-06 06:49:15,1556.8100585938,1578.8000488281,1542.5,1578.8000488281,582529984,25757608890,16314675
1,"bitcoin","Bitcoin","BTC",2017-05-07 23:59:59,"2781","USD",2017-05-07,2017-05-07 23:59:59,2017-05-07 23:54:12,2017-05-07 15:04:08,1579.4699707031,1596.7199707031,1559.7600097656,1596.7099609375,1080029952,26053077974.8,16316725
1,"bitcoin","Bitcoin","BTC",2017-05-08 23:59:59,"2781","USD",2017-05-08,2017-05-08 23:59:59,2017-05-08 23:59:09,2017-05-08 00:04:09,1596.9200439453,1723.3499755859,1596.9200439453,1723.3499755859,1340320000,28123369330.2,16319012
1,"bitcoin","Bitcoin","BTC",2017-05-09 23:59:59,"2781","USD",2017-05-09,2017-05-09 23:59:59,2017-05-09 09:49:09,2017-05-09 21:34:11,1723.8900146484,1833.4899902344,1716.3000488281,1755.3599853516,1167920000,28649119972.3,16320937
1,"bitcoin","Bitcoin","BTC",2017-05-10 23:59:59,"2781","USD",2017-05-10,2017-05-10 23:59:59,2017-05-10 23:44:15,2017-05-10 07:04:16,1756.5200195313,1788.4399414063,1719.0999755859,1787.1300048828,915723008,29170965564,16322800
1,"bitcoin","Bitcoin","BTC",2017-05-11 23:59:59,"2781","USD",2017-05-11,2017-05-11 23:59:59,2017-05-11 08:19:14,2017-05-11 02:24:08,1780.3699951172,1873.9300537109,1755.3499755859,1848.5699462891,799489984,30176934750.8,16324475
1,"bitcoin","Bitcoin","BTC",2017-05-12 23:59:59,"2781","USD",2017-05-12,2017-05-12 23:59:59,2017-05-12 00:14:11,2017-05-12 19:59:09,1845.7600097656,1856.1500244141,1694.0100097656,1724.2399902344,740984000,28150631936,16326400
1,"bitcoin","Bitcoin","BTC",2017-05-13 23:59:59,"2781","USD",2017-05-13,2017-05-13 23:59:59,2017-05-13 14:49:09,2017-05-13 02:34:14,1723.1199951172,1812.9899902344,1651.0799560547,1804.9100341797,579635008,29471223857.4,16328362
1,"bitcoin","Bitcoin","BTC",2017-05-14 23:59:59,"2781","USD",2017-05-14,2017-05-14 23:59:59,2017-05-14 10:09:11,2017-05-14 19:54:11,1800.8599853516,1831.4200439453,1776.6199951172,1808.9100341797,437196000,29540290793.7,16330437
1,"bitcoin","Bitcoin","BTC",2017-05-15 23:59:59,"2781","USD",2017-05-15,2017-05-15 23:59:59,2017-05-15 00:44:09,2017-05-15 15:44:17,1808.4399414063,1812.8000488281,1708.5400390625,1738.4300537109,731529024,28392885375.4,16332487
1,"bitcoin","Bitcoin","BTC",2017-05-16 23:59:59,"2781","USD",2017-05-16,2017-05-16 23:59:59,2017-05-16 15:59:09,2017-05-16 04:04:09,1741.6999511719,1785.9399414063,1686.5400390625,1734.4499511719,959044992,28330874003.4,16334212
1,"bitcoin","Bitcoin","BTC",2017-05-17 23:59:59,"2781","USD",2017-05-17,2017-05-17 23:59:59,2017-05-17 09:54:18,2017-05-17 02:24:09,1726.7299804688,1864.0500488281,1661.9100341797,1839.0899658203,1064729984,30043626195.3,16336137
1,"bitcoin","Bitcoin","BTC",2017-05-18 23:59:59,"2781","USD",2017-05-18,2017-05-18 23:59:59,2017-05-18 23:14:12,2017-05-18 03:54:15,1818.6999511719,1904.4799804688,1807.1199951172,1888.6500244141,894321024,30856574835,16337900
1,"bitcoin","Bitcoin","BTC",2017-05-19 23:59:59,"2781","USD",2017-05-19,2017-05-19 23:59:59,2017-05-19 22:49:18,2017-05-19 00:09:18,1897.3699951172,2004.5200195313,1890.25,1987.7099609375,1157289984,32479082014.5,16339950
1,"bitcoin","Bitcoin","BTC",2017-05-20 23:59:59,"2781","USD",2017-05-20,2017-05-20 23:59:59,2017-05-20 23:59:12,2017-05-20 11:49:19,1984.2399902344,2084.7299804688,1974.9200439453,2084.7299804688,961336000,34068630558.5,16341987
1,"bitcoin","Bitcoin","BTC",2017-05-21 23:59:59,"2781","USD",2017-05-21,2017-05-21 23:59:59,2017-05-21 12:14:09,2017-05-21 20:04:13,2067.0300292969,2119.080078125,2037.5,2041.1999511719,1147859968,33361091114.4,16343862
1,"bitcoin","Bitcoin","BTC",2017-05-22 23:59:59,"2781","USD",2017-05-22,2017-05-22 23:59:59,2017-05-22 08:54:10,2017-05-22 00:39:26,2043.1899414063,2303.8999023438,2017.8699951172,2173.3999023438,1942220032,35525744380,16345700
1,"bitcoin","Bitcoin","BTC",2017-05-23 23:59:59,"2781","USD",2017-05-23,2017-05-23 23:59:59,2017-05-23 23:54:10,2017-05-23 00:09:09,2191.5600585938,2320.8200683594,2178.5,2320.419921875,1378749952,37933704065.5,16347775
1,"bitcoin","Bitcoin","BTC",2017-05-24 23:59:59,"2781","USD",2017-05-24,2017-05-24 23:59:59,2017-05-24 20:19:15,2017-05-24 00:04:14,2321.3701171875,2523.7199707031,2321.3701171875,2443.6398925781,1725379968,39952841999,16349725
1,"bitcoin","Bitcoin","BTC",2017-05-25 23:59:59,"2781","USD",2017-05-25,2017-05-25 23:59:59,2017-05-25 15:14:11,2017-05-25 23:44:17,2446.2399902344,2763.7099609375,2285.3000488281,2304.9799804688,2406700032,37690456715,16351750
1,"bitcoin","Bitcoin","BTC",2017-05-26 23:59:59,"2781","USD",2017-05-26,2017-05-26 23:59:59,2017-05-26 08:59:19,2017-05-26 19:34:18,2320.8898925781,2573.7900390625,2071.9899902344,2202.419921875,1763480064,36017660893.5,16353675
1,"bitcoin","Bitcoin","BTC",2017-05-27 23:59:59,"2781","USD",2017-05-27,2017-05-27 23:59:59,2017-05-27 01:34:10,2017-05-27 10:19:16,2196.2700195313,2260.1999511719,1855.8299560547,2038.8699951172,1700480000,33347170525.4,16355712
1,"bitcoin","Bitcoin","BTC",2017-05-28 23:59:59,"2781","USD",2017-05-28,2017-05-28 23:59:59,2017-05-28 09:44:13,2017-05-28 00:04:15,2054.080078125,2267.3400878906,2054.080078125,2155.8000488281,1147139968,35264171109.6,16357812
1,"bitcoin","Bitcoin","BTC",2017-05-29 23:59:59,"2781","USD",2017-05-29,2017-05-29 23:59:59,2017-05-29 21:29:17,2017-05-29 03:39:09,2159.4299316406,2307.0500488281,2107.169921875,2255.6101074219,994625024,36901102917,16359700
1,"bitcoin","Bitcoin","BTC",2017-05-30 23:59:59,"2781","USD",2017-05-30,2017-05-30 23:59:59,2017-05-30 06:04:10,2017-05-30 22:39:08,2255.3601074219,2301.9599609375,2124.5700683594,2175.4699707031,1443970048,35594903085.4,16361937
1,"bitcoin","Bitcoin","BTC",2017-05-31 23:59:59,"2781","USD",2017-05-31,2017-05-31 23:59:59,2017-05-31 18:49:20,2017-05-31 04:29:17,2187.1899414063,2311.080078125,2145.5700683594,2286.4099121094,1544829952,37414813240,16364000
1,"bitcoin","Bitcoin","BTC",2017-06-01 23:59:59,"2781","USD",2017-06-01,2017-06-01 23:59:59,2017-06-01 12:54:13,2017-06-01 00:04:09,2288.330078125,2448.3898925781,2288.330078125,2407.8798828125,1653180032,39407633762.6,16366112
1,"bitcoin","Bitcoin","BTC",2017-06-02 23:59:59,"2781","USD",2017-06-02,2017-06-02 23:59:59,2017-06-02 23:59:11,2017-06-02 01:24:11,2404.0300292969,2488.5500488281,2373.3200683594,2488.5500488281,1317030016,40732491835.1,16367962
1,"bitcoin","Bitcoin","BTC",2017-06-03 23:59:59,"2781","USD",2017-06-03,2017-06-03 23:59:59,2017-06-03 17:29:12,2017-06-03 04:54:14,2493.7199707031,2581.9099121094,2423.5700683594,2515.3500976563,1514950016,41177190056.7,16370362
1,"bitcoin","Bitcoin","BTC",2017-06-04 23:59:59,"2781","USD",2017-06-04,2017-06-04 23:59:59,2017-06-04 00:09:21,2017-06-04 00:29:17,2547.7900390625,2585.8898925781,2452.5400390625,2511.8100585938,1355120000,41124262595.2,16372362
1,"bitcoin","Bitcoin","BTC",2017-06-05 23:59:59,"2781","USD",2017-06-05,2017-06-05 23:59:59,2017-06-05 23:59:19,2017-06-05 00:09:11,2512.3999023438,2686.8100585938,2510.2199707031,2686.8100585938,1369309952,43994968834.2,16374425
1,"bitcoin","Bitcoin","BTC",2017-06-06 23:59:59,"2781","USD",2017-06-06,2017-06-06 23:59:59,2017-06-06 01:54:11,2017-06-06 00:04:13,2690.8400878906,2999.9099121094,2690.8400878906,2863.1999511719,2089609984,46888622160,16376300
1,"bitcoin","Bitcoin","BTC",2017-06-07 23:59:59,"2781","USD",2017-06-07,2017-06-07 23:59:59,2017-06-07 00:04:18,2017-06-07 22:24:27,2869.3798828125,2869.3798828125,2700.5600585938,2732.1599121094,1517709952,44748237217.9,16378337
1,"bitcoin","Bitcoin","BTC",2017-06-08 23:59:59,"2781","USD",2017-06-08,2017-06-08 23:59:59,2017-06-08 06:29:36,2017-06-08 00:39:12,2720.4899902344,2815.3000488281,2670.9499511719,2805.6201171875,1281170048,45957247988.5,16380425
1,"bitcoin","Bitcoin","BTC",2017-06-09 23:59:59,"2781","USD",2017-06-09,2017-06-09 23:59:59,2017-06-09 21:29:13,2017-06-09 23:14:14,2807.4399414063,2901.7099609375,2795.6201171875,2823.8100585938,1348950016,46260465853.5,16382287
1,"bitcoin","Bitcoin","BTC",2017-06-10 23:59:59,"2781","USD",2017-06-10,2017-06-10 23:59:59,2017-06-10 23:54:19,2017-06-10 06:24:13,2828.1398925781,2950.9899902344,2746.5500488281,2947.7099609375,2018889984,48295501718.2,16384075
1,"bitcoin","Bitcoin","BTC",2017-06-11 23:59:59,"2781","USD",2017-06-11,2017-06-11 23:59:59,2017-06-11 16:49:13,2017-06-11 06:09:28,2942.4099121094,2996.6000976563,2840.5300292969,2958.1101074219,1752400000,48471330146.3,16385912
1,"bitcoin","Bitcoin","BTC",2017-06-12 23:59:59,"2781","USD",2017-06-12,2017-06-12 23:59:59,2017-06-12 02:24:16,2017-06-12 17:44:15,2953.2199707031,2997.2600097656,2518.5600585938,2659.6298828125,2569530112,43585351532.5,16387750
1,"bitcoin","Bitcoin","BTC",2017-06-13 23:59:59,"2781","USD",2017-06-13,2017-06-13 23:59:59,2017-06-13 08:44:20,2017-06-13 02:04:17,2680.9099121094,2789.0400390625,2650.3798828125,2717.0200195313,1781200000,44530631894.2,16389512
1,"bitcoin","Bitcoin","BTC",2017-06-14 23:59:59,"2781","USD",2017-06-14,2017-06-14 23:59:59,2017-06-14 06:29:20,2017-06-14 22:49:15,2716.8798828125,2786.830078125,2412.9399414063,2506.3701171875,1696560000,41082567338.9,16391262
1,"bitcoin","Bitcoin","BTC",2017-06-15 23:59:59,"2781","USD",2017-06-15,2017-06-15 23:59:59,2017-06-15 02:24:19,2017-06-15 14:04:14,2499.580078125,2534.7099609375,2212.9599609375,2464.580078125,2026259968,40402259202,16393162
1,"bitcoin","Bitcoin","BTC",2017-06-16 23:59:59,"2781","USD",2017-06-16,2017-06-16 23:59:59,2017-06-16 20:14:31,2017-06-16 02:09:18,2469.5700683594,2539.919921875,2385.1499023438,2518.5600585938,1195190016,41291821422.7,16395012
1,"bitcoin","Bitcoin","BTC",2017-06-17 23:59:59,"2781","USD",2017-06-17,2017-06-17 23:59:59,2017-06-17 18:49:21,2017-06-17 02:29:22,2514.0100097656,2685.1899414063,2484.9599609375,2655.8798828125,1534509952,43548031451.6,16396837
1,"bitcoin","Bitcoin","BTC",2017-06-18 23:59:59,"2781","USD",2017-06-18,2017-06-18 23:59:59,2017-06-18 00:09:26,2017-06-18 20:59:18,2655.3500976563,2662.1000976563,2516.330078125,2548.2900390625,1178659968,41788418973.5,16398612
1,"bitcoin","Bitcoin","BTC",2017-06-19 23:59:59,"2781","USD",2017-06-19,2017-06-19 23:59:59,2017-06-19 13:14:16,2017-06-19 00:04:19,2549.0300292969,2662.8500976563,2549.0300292969,2589.6000976563,1446840064,42470734800,16400500
1,"bitcoin","Bitcoin","BTC",2017-06-20 23:59:59,"2781","USD",2017-06-20,2017-06-20 23:59:59,2017-06-20 20:44:18,2017-06-20 00:14:12,2591.2600097656,2763.4499511719,2589.8200683594,2721.7900390625,1854189952,44643512689,16402262
1,"bitcoin","Bitcoin","BTC",2017-06-21 23:59:59,"2781","USD",2017-06-21,2017-06-21 23:59:59,2017-06-21 05:04:13,2017-06-21 22:49:11,2709.4299316406,2772.0100097656,2660.3999023438,2689.1000976563,1626579968,44111929172.5,16403975
1,"bitcoin","Bitcoin","BTC",2017-06-22 23:59:59,"2781","USD",2017-06-22,2017-06-22 23:59:59,2017-06-22 15:09:35,2017-06-22 05:09:16,2691.0300292969,2723.7399902344,2642.3601074219,2705.4099121094,1097939968,44384244937.2,16405737
1,"bitcoin","Bitcoin","BTC",2017-06-23 23:59:59,"2781","USD",2017-06-23,2017-06-23 23:59:59,2017-06-23 17:44:22,2017-06-23 00:09:23,2707.3400878906,2765.169921875,2706.3701171875,2744.9099121094,961318976,45037797052.5,16407750
1,"bitcoin","Bitcoin","BTC",2017-06-24 23:59:59,"2781","USD",2017-06-24,2017-06-24 23:59:59,2017-06-24 12:49:19,2017-06-24 20:14:18,2738.5200195313,2757.9399414063,2583.1899414063,2608.7199707031,982750016,42807952580.6,16409562
1,"bitcoin","Bitcoin","BTC",2017-06-25 23:59:59,"2781","USD",2017-06-25,2017-06-25 23:59:59,2017-06-25 12:09:16,2017-06-25 21:34:23,2607.25,2682.2600097656,2552.1201171875,2589.4099121094,1161100032,42495001715.8,16411075
1,"bitcoin","Bitcoin","BTC",2017-06-26 23:59:59,"2781","USD",2017-06-26,2017-06-26 23:59:59,2017-06-26 04:29:20,2017-06-26 19:32:28,2590.5700683594,2615.25,2376.2900390625,2478.4499511719,1663280000,40677994353.8,16412675
1,"bitcoin","Bitcoin","BTC",2017-06-27 23:59:59,"2781","USD",2017-06-27,2017-06-27 23:59:59,2017-06-27 23:59:42,2017-06-27 14:52:45,2478.4499511719,2552.4499511719,2332.9899902344,2552.4499511719,1489789952,41897190525,16414500
1,"bitcoin","Bitcoin","BTC",2017-06-28 23:59:59,"2781","USD",2017-06-28,2017-06-28 23:59:59,2017-06-28 21:59:09,2017-06-28 05:40:09,2553.0300292969,2603.9799804688,2484.419921875,2574.7900390625,1183869952,42268942193,16416462
1,"bitcoin","Bitcoin","BTC",2017-06-29 23:59:59,"2781","USD",2017-06-29,2017-06-29 23:59:59,2017-06-29 17:49:11,2017-06-29 13:09:09,2567.5600585938,2588.830078125,2510.4799804688,2539.3200683594,949979008,41690395782.8,16417937
1,"bitcoin","Bitcoin","BTC",2017-06-30 23:59:59,"2781","USD",2017-06-30,2017-06-30 23:59:59,2017-06-30 11:39:11,2017-06-30 07:49:09,2539.2399902344,2559.25,2478.4299316406,2480.8400878906,860273024,40735082695,16419875
1,"bitcoin","Bitcoin","BTC",2017-07-01 23:59:59,"2781","USD",2017-07-01,2017-07-01 23:59:59,2017-07-01 11:39:09,2017-07-01 21:44:10,2492.6000976563,2515.2700195313,2419.2299804688,2434.5500488281,779913984,39980058372.5,16421950
1,"bitcoin","Bitcoin","BTC",2017-07-02 23:59:59,"2781","USD",2017-07-02,2017-07-02 23:59:59,2017-07-02 23:34:07,2017-07-02 02:29:10,2436.3999023438,2514.2800292969,2394.8400878906,2506.4699707031,803747008,41167015221,16424300
1,"bitcoin","Bitcoin","BTC",2017-07-03 23:59:59,"2781","USD",2017-07-03,2017-07-03 23:59:59,2017-07-03 14:24:10,2017-07-03 04:19:06,2498.5600585938,2595,2480.4699707031,2564.0600585938,964112000,42118211082.5,16426375
1,"bitcoin","Bitcoin","BTC",2017-07-04 23:59:59,"2781","USD",2017-07-04,2017-07-04 23:59:59,2017-07-04 07:34:18,2017-07-04 00:09:19,2561,2631.5900878906,2559.3500976563,2601.6398925781,985516032,42740618672.7,16428337
1,"bitcoin","Bitcoin","BTC",2017-07-05 23:59:59,"2781","USD",2017-07-05,2017-07-05 23:59:59,2017-07-05 22:34:14,2017-07-05 08:29:18,2602.8701171875,2622.6499023438,2538.5500488281,2601.9899902344,941566016,42751085998.5,16430150
1,"bitcoin","Bitcoin","BTC",2017-07-06 23:59:59,"2781","USD",2017-07-06,2017-07-06 23:59:59,2017-07-06 23:44:12,2017-07-06 11:24:10,2608.1000976563,2616.7199707031,2581.6899414063,2608.5600585938,761956992,42863758794.7,16431962
1,"bitcoin","Bitcoin","BTC",2017-07-07 23:59:59,"2781","USD",2017-07-07,2017-07-07 23:59:59,2017-07-07 20:44:10,2017-07-07 23:14:10,2608.5900878906,2916.1398925781,2498.8701171875,2518.6599121094,917411968,41391217674.5,16433825
1,"bitcoin","Bitcoin","BTC",2017-07-08 23:59:59,"2781","USD",2017-07-08,2017-07-08 23:59:59,2017-07-08 23:59:22,2017-07-08 03:09:10,2520.2700195313,2571.3400878906,2492.3100585938,2571.3400878906,733329984,42262222822.5,16435875
1,"bitcoin","Bitcoin","BTC",2017-07-09 23:59:59,"2781","USD",2017-07-09,2017-07-09 23:59:59,2017-07-09 04:49:21,2017-07-09 23:54:15,2572.6101074219,2635.4899902344,2517.5900878906,2518.4399414063,527856000,41397076604.3,16437587
1,"bitcoin","Bitcoin","BTC",2017-07-10 23:59:59,"2781","USD",2017-07-10,2017-07-10 23:59:59,2017-07-10 09:39:13,2017-07-10 23:34:23,2525.25,2537.1599121094,2321.1298828125,2372.5600585938,1111200000,39005033498.7,16440062
1,"bitcoin","Bitcoin","BTC",2017-07-11 23:59:59,"2781","USD",2017-07-11,2017-07-11 23:59:59,2017-07-11 13:09:05,2017-07-11 06:24:07,2385.8898925781,2413.4699707031,2296.8100585938,2337.7900390625,1329760000,38438497236.2,16442237
1,"bitcoin","Bitcoin","BTC",2017-07-12 23:59:59,"2781","USD",2017-07-12,2017-07-12 23:59:59,2017-07-12 19:34:07,2017-07-12 02:24:06,2332.7700195313,2423.7099609375,2275.1398925781,2398.8400878906,1117410048,39447604438,16444450
